City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Arkhipo-Osipovka,RU,66.78,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
167,Helmstedt,DE,74.55,broken clouds,52.2279,11.0099,Best Western Hotel Helmstedt am Lappwald
175,Chapada Dos Guimaraes,BR,73.06,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
180,Sokoni,TZ,75.7,few clouds,-6.4333,39.55,Ujamaa Beach Resort
181,Breves,BR,77.74,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
186,Moissac,FR,70.48,clear sky,44.1024,1.0945,Hôtel & Spa Le Moulin De Moissac
191,Manga,BF,78.48,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
193,Kaduna,NG,69.35,moderate rain,10.5222,7.4383,HAMDALA HOTEL
195,Mutis,CO,79.12,light rain,6.2262,-77.4044,Paraiso Escondido
196,Porto Torres,IT,77.18,clear sky,40.835,8.3972,Hotel Elisa
197,Mattru,SL,71.94,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
198,Ilebo,CD,73.85,scattered clouds,-4.3167,20.5833,Hôtel BUMAK
200,Meulaboh,ID,75.22,overcast clouds,4.1363,96.1285,Kost Pria
202,Bibiani,GH,66.43,scattered clouds,6.4635,-2.3194,Rodick Hotel
208,Anloga,GH,75.29,scattered clouds,5.7947,0.8973,Pin Drop Hotel
209,Mangan,IN,75.27,overcast clouds,27.5167,88.5333,Hotel Mout View
210,Khash,IR,77.36,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
212,Tamandare,BR,74.23,light rain,-8.7597,-35.1047,Pousada 100 Passos
216,Boqueirao,BR,67.77,broken clouds,-7.5,-36.1333,Hotel Chique Chique
217,Mogadishu,SO,75.02,light rain,2.0371,45.3438,Hotel Juba
221,Alghero,IT,77.09,clear sky,40.5589,8.3181,Smy Carlos V Alghero
223,La Asuncion,VE,79.75,clear sky,11.0333,-63.8628,Colinas de Matasiete
224,Aksu,CN,72.19,clear sky,41.1231,80.2644,Pudong Holiday Hotel
228,Axim,GH,73.08,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
230,Sao Filipe,CV,76.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
233,Sibiti,CG,65.3,scattered clouds,-3.6819,13.3499,Gaby et confort
235,Pemba,MZ,72.88,broken clouds,-12.974,40.5178,Guesthouse Samotina
239,Kerman,IR,78.21,clear sky,30.2832,57.0788,هتل آپارتمان آسام
240,Sitarganj,IN,78.76,overcast clouds,28.9333,79.7,OYO 37021 Hotel Sitar International
241,Barnala,IN,78.84,moderate rain,30.3833,75.55,STARiHOTEL Barnala
242,Bamako,ML,73.81,light rain,12.65,-8.0,Hôtel l’Amitié Bamako
244,Talara,PE,66.96,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
246,Camocim,BR,77.95,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
250,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
253,Ashta,IN,74.64,overcast clouds,23.0167,76.7167,Digambar Jain Dharamshala
255,Havre-Saint-Pierre,CA,66.9,broken clouds,50.2334,-63.5986,Auberge Niapiskau
256,Margate,GB,68.7,few clouds,51.3813,1.3862,Premier Inn Margate hotel
262,Itapirapua,BR,75.45,clear sky,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
264,Portobelo,PA,78.96,overcast clouds,9.55,-79.65,Scuba Portobelo
266,Bengkulu,ID,75.2,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
268,Lasa,IT,69.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
270,Newport,GB,66.02,overcast clouds,51.5877,-2.9984,ibis budget Newport
271,Moura,PT,77.43,clear sky,38.1401,-7.4486,Hotel de Moura
272,Morondava,MG,68.7,clear sky,-20.2833,44.2833,La Case Bambou
274,Sault Sainte Marie,CA,66.76,light rain,46.5168,-84.3333,Comfort Inn
278,Bollnas,SE,66.11,overcast clouds,61.3482,16.3946,Grand Hotel
279,Halifax,CA,77.52,clear sky,44.6453,-63.5724,Hotel Halifax
283,Amalapuram,IN,79.47,broken clouds,16.5833,82.0167,swayamprabha service apartments
284,Diebougou,BF,72.21,light rain,10.9667,-3.25,Hotel Le Consulat
291,Suez,EG,75.85,clear sky,29.9737,32.5263,Green House
299,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
301,Chhabra,IN,79.38,heavy intensity rain,24.6667,76.8333,ROYAL PALACE GARDEN
303,Aguadulce,PA,78.08,overcast clouds,8.25,-80.55,Residencial Aguadulce
304,Parasia,IN,71.49,overcast clouds,22.2,78.7667,Hotel Navrang
307,Resistencia,AR,76.1,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
308,Ajdabiya,LY,74.66,clear sky,30.7554,20.2263,Almadina Hotel
310,Senneterre,CA,70.12,heavy intensity rain,48.3835,-77.2328,Motel Senabi
313,Rabat,MA,72.16,scattered clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
315,Waddan,LY,77.95,clear sky,29.1614,16.139,محل الشريف محمد العايب
316,Bardiyah,LY,76.1,clear sky,31.7561,25.0865,بورتو بردية
317,Mangaluru,IN,74.26,mist,12.8667,74.8833,Goldfinch Hotel Mangaluru
321,Bandarbeyla,SO,73.89,scattered clouds,9.4942,50.8122,JABIR HOTEL
324,Antalaha,MG,66.65,light rain,-14.9003,50.2788,Hotel Vitasoa
328,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
329,Praia,CV,77.92,broken clouds,14.9215,-23.5087,LT Aparthotel
330,Batouri,CM,67.75,overcast clouds,4.4333,14.3667,Hotel Hollywood
331,Orocue,CO,75.15,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
335,Monrovia,LR,75.43,light rain,6.3005,-10.7969,Sunset Inn
