City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sinnamary,GF,5.3833,-52.95,77.54,84,7,7.54,clear sky
80,Punta Arenas,CL,-53.15,-70.9167,32.02,86,40,18.41,scattered clouds
81,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,0,18.41,clear sky
82,Manavalakurichi,IN,8.1333,77.3,77.16,86,65,17.09,broken clouds
83,Male,MV,4.1748,73.5089,79.84,77,100,16.06,light rain
84,Laguna,US,38.421,-121.4238,105.76,22,0,5.01,clear sky
85,Port Alfred,ZA,-33.5906,26.891,55.18,97,99,1.01,overcast clouds
86,Mopti,ML,14.6667,-4.0,83.34,66,100,11.54,overcast clouds
87,Viedma,AR,-40.8135,-62.9967,58.3,60,77,22.01,broken clouds
88,Mykolayivka,UA,47.5414,30.7561,68.22,65,56,9.28,broken clouds
89,Sinazongwe,ZM,-17.2614,27.4618,67.21,65,44,2.8,scattered clouds
90,Salalah,OM,17.0151,54.0924,77.09,100,100,6.91,drizzle
91,San Cristobal,VE,7.7669,-72.225,78.98,84,55,4.45,broken clouds
92,Bathsheba,BB,13.2167,-59.5167,80.06,95,68,17.56,broken clouds
93,Aksarka,RU,66.5606,67.7975,53.64,85,91,9.26,light rain
94,Carnarvon,AU,-24.8667,113.6333,71.92,76,53,13.85,broken clouds
95,Swidnik,PL,51.219,22.6962,64.29,77,0,1.14,clear sky
96,Guaruja,BR,-23.9931,-46.2564,65.84,93,97,1.74,overcast clouds
97,Gogrial,SS,8.5332,28.1004,71.02,84,74,3.0,broken clouds
98,Abalak,RU,58.1286,68.5944,59.36,97,100,1.86,moderate rain
99,Saldanha,ZA,-33.0117,17.9442,52.34,66,0,9.86,clear sky
100,Cayenne,GF,4.9333,-52.3333,82.09,1,0,2.3,clear sky
101,Lincoln,US,40.8,-96.667,94.28,36,0,4.61,clear sky
102,Yelovo,RU,57.0538,54.9207,53.08,92,19,3.38,few clouds
103,Eirunepe,BR,-6.6603,-69.8736,78.62,59,13,1.97,few clouds
104,Buenos Aires,AR,-34.6132,-58.3772,62.49,76,100,2.3,overcast clouds
105,Cabedelo,BR,-6.9811,-34.8339,74.82,87,87,10.02,overcast clouds
106,Puerto Madryn,AR,-42.7692,-65.0385,47.68,42,100,24.85,overcast clouds
107,Aswan,EG,24.0934,32.907,90.16,22,13,14.83,few clouds
108,Cidreira,BR,-30.1811,-50.2056,62.17,92,0,17.11,clear sky
109,Adrar,MR,20.5022,-10.0711,93.51,21,42,9.4,scattered clouds
110,Berlevag,NO,70.8578,29.0864,57.0,93,75,0.0,broken clouds
111,Promissao,BR,-21.5367,-49.8581,77.2,42,33,7.78,scattered clouds
112,Phalombe,MW,-15.8064,35.6507,60.98,81,49,3.44,scattered clouds
113,Vangaindrano,MG,-23.35,47.6,65.64,89,73,6.22,light rain
114,Zambezi,ZM,-13.5432,23.1047,56.55,42,9,5.88,clear sky
115,Nsukka,NG,6.8561,7.3927,68.76,93,100,6.69,overcast clouds
116,Hambantota,LK,6.1241,81.1185,78.31,85,97,16.84,overcast clouds
117,Abu Samrah,SY,35.3029,37.1841,75.2,62,0,13.96,clear sky
118,Ziniare,BF,12.5822,-1.2983,78.4,73,22,6.6,few clouds
119,Alta Floresta,BR,-9.8756,-56.0861,76.91,35,0,1.83,clear sky
120,Mahebourg,MU,-20.4081,57.7,68.25,72,88,20.65,light rain
121,Maragogi,BR,-9.0122,-35.2225,74.73,88,38,13.13,scattered clouds
122,Liverpool,GB,53.4106,-2.9779,62.62,79,75,13.8,broken clouds
123,Caravelas,BR,-17.7125,-39.2481,71.49,77,1,7.2,clear sky
124,Souillac,MU,-20.5167,57.5167,68.38,73,40,14.97,light rain
125,Aleksandrovka,UA,46.8383,32.7612,69.08,64,58,11.81,light rain
126,Bredasdorp,ZA,-34.5322,20.0403,44.8,88,0,5.12,clear sky
127,Boca Do Acre,BR,-8.7522,-67.3978,79.29,48,6,1.05,clear sky
128,Port Elizabeth,ZA,-33.918,25.5701,55.31,89,100,5.01,overcast clouds
129,Kipini,KE,-2.5257,40.5262,71.89,80,10,17.4,light rain
130,Puerto Colombia,CO,10.9878,-74.9547,82.49,85,47,20.29,scattered clouds
131,Port-Gentil,GA,-0.7193,8.7815,75.16,88,75,6.91,broken clouds
132,Leh,IN,34.1667,77.5833,61.41,22,100,9.06,overcast clouds
133,Saint-Leu,RE,-21.15,55.2833,68.86,66,38,6.93,scattered clouds
134,Yar-Sale,RU,66.8333,70.8333,49.96,68,26,10.29,scattered clouds
135,Port Blair,IN,11.6667,92.75,78.84,94,100,2.3,moderate rain
136,Kruisfontein,ZA,-34.0033,24.7314,52.88,90,96,5.08,overcast clouds
137,Hendersonville,US,36.3048,-86.62,98.8,57,40,3.0,scattered clouds
138,Harnai,PK,30.1005,67.9374,86.4,66,4,2.35,clear sky
139,Pimentel,PE,-6.8367,-79.9342,64.69,72,0,18.41,clear sky
140,Riberalta,BO,-10.9833,-66.1,78.15,43,67,1.1,broken clouds
141,Dikson,RU,73.5069,80.5464,40.77,76,47,26.84,scattered clouds
142,Chaman,PK,30.9236,66.4512,83.16,45,0,12.08,clear sky
143,Ugoofaaru,MV,5.6667,73.0,80.22,77,93,17.49,moderate rain
144,Lahuachaca,BO,-17.3667,-67.6667,47.71,34,61,7.63,broken clouds
145,Willowmore,ZA,-33.2926,23.4895,42.51,91,13,1.07,few clouds
146,Arlit,NE,18.7369,7.3853,92.12,28,51,6.08,broken clouds
